wavelength (nm)	March 20th	June 21st
650	5.09E-02	2.67E-02
651	5.31E-02	2.78E-02
652	5.18E-02	2.70E-02
653	5.26E-02	2.76E-02
654	5.20E-02	2.73E-02
655	5.05E-02	2.64E-02
656	4.46E-02	2.34E-02
657	4.58E-02	2.40E-02
658	5.12E-02	2.69E-02
659	5.14E-02	2.70E-02
660	5.13E-02	2.69E-02
661	5.12E-02	2.67E-02
662	5.10E-02	2.64E-02
663	5.03E-02	2.62E-02
664	5.13E-02	2.69E-02
665	5.16E-02	2.72E-02
666	5.19E-02	2.74E-02
667	5.21E-02	2.76E-02
668	5.22E-02	2.77E-02
669	5.31E-02	2.82E-02
670	5.29E-02	2.82E-02
671	5.30E-02	2.82E-02
672	5.26E-02	2.80E-02
673	5.35E-02	2.85E-02
674	5.33E-02	2.85E-02
675	5.29E-02	2.82E-02
676	5.33E-02	2.85E-02
677	5.29E-02	2.82E-02
678	5.31E-02	2.84E-02
679	5.23E-02	2.79E-02
680	5.28E-02	2.82E-02
681	5.25E-02	2.81E-02
682	5.26E-02	2.81E-02
683	5.25E-02	2.81E-02
684	5.24E-02	2.80E-02
685	5.29E-02	2.83E-02
686	5.27E-02	2.82E-02
687	3.91E-02	1.74E-02
688	4.39E-02	2.10E-02
689	4.40E-02	2.11E-02
690	4.56E-02	2.25E-02
691	4.74E-02	2.40E-02
692	4.88E-02	2.53E-02
693	4.92E-02	2.55E-02
694	4.93E-02	2.57E-02
695	5.05E-02	2.67E-02
696	5.08E-02	2.68E-02
697	5.25E-02	2.81E-02
698	5.18E-02	2.77E-02
699	5.15E-02	2.74E-02
700	5.10E-02	2.71E-02
701	5.08E-02	2.69E-02
702	5.09E-02	2.71E-02
703	5.11E-02	2.72E-02
704	5.23E-02	2.79E-02
705	5.25E-02	2.81E-02
706	5.23E-02	2.80E-02
707	5.23E-02	2.81E-02
708	5.25E-02	2.82E-02
709	5.23E-02	2.82E-02
710	5.26E-02	2.83E-02
711	5.25E-02	2.82E-02
712	5.22E-02	2.82E-02
713	5.19E-02	2.80E-02
714	5.22E-02	2.81E-02
715	5.10E-02	2.74E-02
716	5.12E-02	2.75E-02
717	4.80E-02	2.47E-02
718	4.53E-02	2.32E-02
719	4.20E-02	2.13E-02
720	4.41E-02	2.24E-02
721	4.63E-02	2.40E-02
722	5.04E-02	2.69E-02
723	4.84E-02	2.55E-02
724	4.53E-02	2.34E-02
725	4.53E-02	2.33E-02
726	4.68E-02	2.41E-02
727	4.69E-02	2.44E-02
728	4.53E-02	2.32E-02
729	4.58E-02	2.38E-02
730	4.82E-02	2.52E-02
731	4.68E-02	2.42E-02
732	4.86E-02	2.56E-02
733	5.01E-02	2.68E-02
734	5.11E-02	2.74E-02
735	5.03E-02	2.69E-02
736	5.02E-02	2.69E-02
737	5.06E-02	2.71E-02
738	5.06E-02	2.73E-02
739	4.97E-02	2.69E-02
740	5.08E-02	2.75E-02
741	5.02E-02	2.72E-02
742	5.02E-02	2.73E-02
743	5.15E-02	2.80E-02
744	5.13E-02	2.79E-02
745	5.13E-02	2.79E-02
746	5.16E-02	2.81E-02
747	5.18E-02	2.82E-02
748	5.17E-02	2.82E-02
749	5.12E-02	2.79E-02
750	5.12E-02	2.79E-02
751	5.08E-02	2.77E-02
752	5.11E-02	2.78E-02
753	5.14E-02	2.80E-02
754	5.16E-02	2.81E-02
755	5.13E-02	2.80E-02
756	5.14E-02	2.80E-02
757	5.15E-02	2.81E-02
758	5.10E-02	2.78E-02
759	5.02E-02	2.71E-02
760	1.33E-02	3.18E-03
761	8.27E-03	1.48E-03
762	3.05E-02	1.22E-02
763	1.83E-02	5.31E-03
764	2.48E-02	8.67E-03
765	3.06E-02	1.23E-02
766	3.54E-02	1.59E-02
767	4.25E-02	2.09E-02
768	4.73E-02	2.48E-02
769	4.80E-02	2.56E-02
770	4.93E-02	2.67E-02
771	4.96E-02	2.70E-02
772	4.97E-02	2.71E-02
773	5.01E-02	2.73E-02
774	4.99E-02	2.73E-02
775	4.96E-02	2.71E-02
776	5.03E-02	2.75E-02
777	4.97E-02	2.71E-02
778	4.94E-02	2.70E-02
779	4.95E-02	2.71E-02
780	4.93E-02	2.70E-02
781	4.94E-02	2.70E-02
782	4.98E-02	2.72E-02
783	4.90E-02	2.68E-02
784	4.93E-02	2.70E-02
785	4.90E-02	2.68E-02
786	4.97E-02	2.72E-02
787	4.93E-02	2.68E-02
788	4.89E-02	2.66E-02
789	4.91E-02	2.67E-02
790	4.84E-02	2.61E-02
791	4.83E-02	2.63E-02
792	4.80E-02	2.61E-02
793	4.73E-02	2.57E-02
794	4.75E-02	2.60E-02
795	4.86E-02	2.65E-02
796	4.79E-02	2.60E-02
797	4.81E-02	2.60E-02
798	4.88E-02	2.66E-02
799	4.87E-02	2.65E-02
800	4.81E-02	2.62E-02
