Wavelength	Ganancia relativa	error
442.000000	0.402184	0.018504
442.030000	0.401997	0.017410
442.410000	0.401884	0.011793
442.669483	0.401848	0.006107
442.780000	0.402141	0.003976
443.000000	0.402351	0.006404
443.150000	0.402598	0.011168
443.520000	0.402621	0.016370
443.564942	0.402754	0.017206
443.890000	0.402996	0.022486
444.000000	0.403419	0.021957
444.260000	0.403922	0.015495
444.460401	0.404317	0.009935
444.630000	0.404658	0.005207
445.000000	0.404786	0.006786
445.355861	0.404857	0.000633
445.370000	0.404880	0.000950
445.740000	0.405145	0.015314
446.000000	0.405491	0.017664
446.120000	0.406059	0.024976
446.251320	0.406687	0.024758
446.490000	0.407281	0.023903
446.860000	0.407741	0.021899
447.000000	0.408378	0.019747
447.146779	0.409121	0.014040
447.230000	0.410155	0.011441
447.600000	0.411350	0.002191
447.970000	0.412628	0.003273
448.000000	0.413896	0.005257
448.042239	0.414915	0.007201
448.340000	0.415954	0.014723
448.710000	0.417012	0.018497
448.937698	0.418070	0.017403
449.000000	0.419228	0.017977
449.080000	0.420855	0.019588
449.450000	0.422525	0.018285
449.820000	0.424199	0.018653
449.833157	0.425837	0.019943
450.000000	0.427293	0.017037
450.190000	0.428783	0.014361
450.560000	0.430312	0.001304
450.728617	0.431939	0.003422
450.930000	0.433575	0.008706
451.000000	0.435140	0.011672
451.300000	0.436665	0.009682
451.624076	0.438171	0.007858
451.670000	0.439692	0.008899
452.000000	0.441229	0.001904
452.040000	0.443031	0.002309
452.410000	0.444833	0.002454
452.519535	0.446677	0.001933
452.780000	0.448525	0.009903
453.000000	0.450391	0.010905
453.150000	0.452201	0.019159
453.414995	0.453963	0.023400
453.520000	0.455617	0.026024
453.890000	0.457352	0.016074
454.000000	0.459125	0.013222
454.260000	0.461046	0.000220
454.310454	0.463120	0.001270
454.630000	0.465286	0.002991
455.000000	0.467454	0.010090
455.205913	0.469548	0.014411
455.370000	0.471533	0.018155
455.740000	0.473487	0.014235
456.000000	0.475341	0.000698
456.101373	0.477117	0.005690
456.110000	0.478762	0.004619
456.480000	0.480192	0.002089
456.850000	0.481654	0.003444
456.996832	0.483136	0.000768
457.000000	0.484703	0.000824
457.220000	0.486396	0.001366
457.590000	0.488287	0.018262
457.892291	0.490138	0.018397
457.960000	0.491977	0.017011
458.000000	0.493787	0.014734
458.330000	0.495489	0.003679
458.700000	0.496973	0.004104
458.787751	0.498407	0.005100
459.000000	0.499791	0.009580
459.070000	0.500947	0.010118
459.430000	0.502380	0.008411
459.683210	0.503846	0.008961
459.800000	0.505319	0.008411
460.000000	0.506742	0.006675
460.170000	0.508098	0.003342
460.540000	0.509530	0.016466
460.578669	0.510870	0.015089
460.910000	0.512155	0.013480
461.000000	0.513371	0.013756
461.280000	0.514785	0.019126
461.474129	0.516281	0.018727
461.650000	0.517793	0.018199
462.000000	0.519333	0.018937
462.020000	0.520852	0.017751
462.369588	0.522194	0.019264
462.390000	0.523375	0.018250
462.760000	0.524651	0.026476
463.000000	0.525794	0.027497
463.120000	0.526881	0.027776
463.265048	0.527920	0.023417
463.490000	0.529143	0.017040
463.860000	0.530504	0.016084
464.000000	0.531888	0.012881
464.160507	0.533357	0.009138
464.230000	0.534714	0.006796
464.600000	0.535916	0.009364
464.970000	0.537074	0.008433
465.000000	0.538275	0.008494
465.055966	0.539363	0.008077
465.340000	0.540280	0.001406
465.700000	0.541420	0.013553
465.951426	0.542575	0.010481
466.000000	0.543514	0.009172
466.070000	0.544468	0.008853
466.440000	0.545627	0.001336
466.810000	0.546805	0.015216
466.846885	0.548088	0.016561
467.000000	0.549348	0.018081
467.180000	0.550670	0.022627
467.550000	0.551899	0.005392
467.742344	0.553112	0.006782
467.910000	0.554330	0.008157
468.000000	0.555449	0.010027
468.280000	0.556673	0.013251
468.637804	0.557915	0.008237
468.650000	0.559246	0.009356
469.000000	0.560415	0.013204
469.020000	0.561821	0.014317
469.390000	0.563268	0.002750
469.533263	0.564780	0.002843
469.750000	0.566225	0.002118
470.000000	0.567741	0.006223
470.120000	0.569091	0.010690
470.428722	0.570367	0.025865
470.490000	0.571607	0.029861
470.860000	0.572839	0.019818
471.000000	0.574194	0.018855
471.230000	0.575495	0.023344
471.324182	0.577012	0.023009
471.590000	0.578684	0.019564
471.960000	0.580408	0.012504
472.000000	0.581992	0.013476
472.219641	0.583464	0.003751
472.330000	0.585067	0.000289
472.700000	0.586634	0.006956
473.000000	0.588189	0.011107
473.060000	0.589934	0.013810
473.115100	0.591885	0.018192
473.430000	0.593935	0.034112
473.800000	0.595997	0.019150
474.000000	0.597999	0.016588
474.010560	0.599889	0.018289
474.170000	0.601765	0.017318
474.530000	0.603644	0.003506
474.900000	0.605510	0.004244
474.906019	0.607461	0.006184
475.000000	0.609822	0.008369
475.270000	0.612210	0.004038
475.640000	0.614623	0.008091
475.801478	0.617089	0.010184
476.000000	0.619380	0.012013
476.370000	0.621962	0.020097
476.696938	0.624881	0.014242
476.740000	0.627843	0.016052
477.000000	0.630871	0.013945
477.110000	0.634023	0.016513
477.470000	0.637374	0.002679
477.592397	0.640569	0.002902
477.840000	0.643362	0.000255
478.000000	0.645964	0.001114
478.210000	0.647885	0.003050
478.487856	0.649898	0.009519
478.570000	0.651968	0.014716
478.940000	0.654741	0.019646
479.000000	0.657890	0.020710
479.310000	0.661051	0.014741
479.383316	0.664080	0.013390
479.670000	0.667217	0.000580
